accuracy,f1,precision,recall,domain,task,model,rmse,mae
0.8299,0.8297,0.8326,0.8299,News,Fake Detection,logistic,,
0.843,0.843,0.8447,0.843,News,Fake Detection,svc,,
0.8443,0.8442,0.8466,0.8443,News,Fake Detection,xgboost,,
0.9741,0.9695,0.9702,0.9741,Hotel,Sentiment,logistic,,
0.9727,0.9667,0.9681,0.9727,Hotel,Sentiment,xgboost,,
0.9724,0.9662,0.9677,0.9724,Hotel,Sentiment,lightgbm,,
0.9818,0.9799,0.9795,0.9818,Hotel,Churn Risk,svc,,
0.9799,0.976,0.9767,0.9799,Hotel,Churn Risk,xgboost,,
0.9796,0.9756,0.9762,0.9796,Hotel,Churn Risk,lightgbm,,
,,,,Hotel,Rating Prediction,ridge,1.4522,1.1075
0.8905,0.8893,0.8891,0.8905,Fashion,Sentiment,logistic,,
0.8575,0.8521,0.8562,0.8575,Fashion,Sentiment,xgboost,,
0.8579,0.8525,0.8566,0.8579,Fashion,Sentiment,lightgbm,,
,,,,Fashion,Rating Prediction,xgboost,0.5356,0.3855
,,,,Fashion,Rating Prediction,svr,0.5601,0.3326
0.9961,0.9961,0.9961,0.9961,App Reviews,Feedback Classifier,logistic,,
0.9979,0.9979,0.9979,0.9979,App Reviews,Feedback Classifier,xgboost,,
0.998,0.998,0.998,0.998,App Reviews,Feedback Classifier,lightgbm,,
0.8763,0.8738,0.8757,0.8763,App Reviews,Recommender,svc,,
0.85,0.8439,0.8523,0.85,App Reviews,Recommender,xgboost,,
0.8515,0.8454,0.854,0.8515,App Reviews,Recommender,lightgbm,,
0.9865,0.9834,0.9867,0.9865,OTT,Content Sentiment,logistic,,
0.9957,0.9955,0.9956,0.9957,OTT,Content Sentiment,xgboost,,
0.997,0.9969,0.9969,0.997,OTT,Content Sentiment,lightgbm,,
0.7971,0.7984,0.8501,0.7971,OTT,Genre Recommender,logistic,,
0.7578,0.7486,0.8194,0.7578,OTT,Genre Recommender,xgboost,,
0.9891,0.9891,0.9891,0.9891,OTT,Viral Probability,svc,,
0.9796,0.9792,0.9795,0.9796,OTT,Viral Probability,xgboost,,
0.9711,0.9704,0.9709,0.9711,OTT,Viral Probability,lightgbm,,
